month,year
4,2013
5,2013
5,2013
5,2013
5,2013
6,2013
7,2013
7,2013
8,2013
8,2013
8,2013
8,2013
9,2013
9,2013
10,2013
10,2013
10,2013
11,2013
11,2013
12,2013
12,2013
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
1,2014
